Neurotyczno˜†;Sumienno˜†
41;19
35;32
38;20
40;18
30;28
24;27
31;24
29;23
28;22
12;32
32;21
20;28
20;23
8;30
44;9
22;25
38;22
29;27
34;17
20;34
20;31
39;19
5;40
33;15
20;28
21;39
12;27
11;33
17;25
12;28
37;18
43;19
21;31
19;29
17;28
20;44
32;27
16;24
14;41
16;20
23;22
32;36
21;31
23;25
31;21
23;33
21;41
47;26
25;32
22;33
14;41
26;27
17;37
25;28
26;38
43;20
38;27
34;24
34;33
32;29
37;14
21;33
21;18
25;34
39;22
39;11
21;13
14;24
22;29
19;20
30;32
24;26
27;22
25;37
21;30
26;41
8;17
8;40
19;35
14;34
21;26
3;47
25;22
39;17
23;3
23;27
37;39
25;38
19;21
8;42
12;40
12;35
25;28
29;29
22;31
19;20
8;45
8;35
11;40
29;37
