Country Name,urban,total
Afghanistan,25.495,37172386
Albania,60.319,2866376
Algeria,72.629,42228429
American Samoa,87.153,55465
Andorra,88.062,77006
Angola,65.514,30809762
Antigua and Barbuda,24.599,96286
Argentina,91.87,44494502
Armenia,63.149,2951776
Aruba,43.411,105845
Australia,86.012,24992369
Austria,58.297,8847037
Azerbaijan,55.68,9942334
Bahamas,83.025,385640
Bahrain,89.287,1569439
Bangladesh,36.632,161356039
Barbados,31.147,286641
Belarus,78.595,9485386
Belgium,98.001,11422068
Belize,45.724,383071
Benin,47.312,11485048
Bermuda,100,63968
Bhutan,40.895,754394
Bolivia,69.425,11353142
Bosnia and Herzegovina,48.245,3323929
Botswana,69.446,2254126
Brazil,86.569,209469333
British Virgin Islands,47.723,29802
Brunei,77.629,428962
Bulgaria,75.008,7024216
Burkina Faso,29.358,19751535
Burundi,13.032,11175378
Cabo Verde,65.732,543767
Cambodia,23.388,16249798
Cameroon,56.374,25216237
Canada,81.411,37058856
Cayman Islands,100,64174
Central African Republic,41.364,4666377
Chad,23.059,15477751
Channel Islands,30.914,170499
Chile,87.564,18729160
China,59.152,1392730000
Colombia,80.778,49648685
Comoros,28.965,832322
Congo (Kinshasa),44.46,84068091
Congo (Brazzaville),66.916,5244363
Costa Rica,79.34,4999441
Cote d'Ivoire,50.779,25069229
Croatia,56.947,4089400
Cuba,77.037,11338138
Curacao,89.145,159849
Cyprus,66.81,1189265
Czechia,73.792,10625695
Denmark,87.874,5797446
Djibouti,77.777,958920
Dominica,70.483,71625
Dominican Republic,81.074,10627165
Ecuador,63.821,17084357
Egypt,42.704,98423595
El Salvador,72.023,6420744
Equatorial Guinea,72.143,1308974
Estonia,68.88,1320884
Eswatini,23.799,1136191
Ethiopia,20.763,109224559
Faroe Islands,42.064,48497
Fiji,56.248,883483
Finland,85.382,5518050
France,80.444,66987244
French Polynesia,61.834,277679
Gabon,89.37,2119275
Gambia,61.27,2280102
Georgia,58.632,3731000
Germany,77.312,82927922
Ghana,56.06,29767108
Gibraltar,100,33718
Greece,79.058,10727668
Greenland,86.816,56025
Grenada,36.272,111454
Guam,94.78,165768
Guatemala,51.054,17247807
Guinea,36.14,12414318
Guinea-Bissau,43.36,1874309
Guyana,26.606,779004
Haiti,55.278,11123176
Honduras,57.096,9587522
"Hong Kong SAR, China",100,7451000
Hungary,71.351,9768785
Iceland,93.813,353574
India,34.03,1352617328
Indonesia,55.325,267663435
Iran,74.898,81800269
Iraq,70.473,38433600
Ireland,63.17,4853506
Isle of Man,52.588,84077
Israel,92.418,8883800
Italy,70.438,60431283
Jamaica,55.674,2934855
Japan,91.616,126529100
Jordan,90.979,9956011
Kazakhstan,57.428,18276499
Kenya,27.03,51393010
Kiribati,54.057,115847
"Korea, Dem. People’s Rep.",61.899,25549819
"Korea, South",81.459,51635256
Kosovo,..,1845300
Kuwait,100,4137309
Kyrgyzstan,36.351,6315800
Laos,35.004,7061507
Latvia,68.142,1926542
Lebanon,88.593,6848925
Lesotho,28.153,2108132
Liberia,51.151,4818977
Libya,80.102,6678567
Liechtenstein,14.338,37910
Lithuania,67.679,2789533
Luxembourg,90.981,607728
"Macao SAR, China",100,631636
Madagascar,37.191,26262368
Malawi,16.937,18143315
Malaysia,76.036,31528585
Maldives,39.808,515696
Mali,42.356,19077690
Malta,94.612,483530
Marshall Islands,77.031,58413
Mauritania,53.672,4403319
Mauritius,40.793,1265303
Mexico,80.156,126190788
"Micronesia, Fed. Sts.",22.703,112640
Moldova,42.629,3545883
Monaco,100,38682
Mongolia,68.445,3170208
Montenegro,66.813,622345
Morocco,62.453,36029138
Mozambique,35.988,29495962
Myanmar,30.579,53708395
Namibia,50.032,2448255
Nauru,100,12704
Nepal,19.74,28087871
Netherlands,91.49,17231017
New Caledonia,70.683,284060
New Zealand,86.538,4885500
Nicaragua,58.522,6465513
Niger,16.425,22442948
Nigeria,50.344,195874740
North Macedonia,57.963,2082958
Northern Mariana Islands,91.618,56882
Norway,82.248,5314336
Oman,84.539,4829483
Pakistan,36.666,212215030
Palau,79.93,17907
Panama,67.709,4176873
Papua New Guinea,13.169,8606316
Paraguay,61.585,6956071
Peru,77.907,31989256
Philippines,46.907,106651922
Poland,60.058,37978548
Portugal,65.211,10281762
Puerto Rico,93.578,3195153
Qatar,99.135,2781677
Romania,53.998,19473936
Russia,74.433,144478050
Rwanda,17.211,12301939
Samoa,18.243,196130
San Marino,97.226,33785
Sao Tome and Principe,72.803,211028
Saudi Arabia,83.844,33699947
Senegal,47.192,15854360
Serbia,56.092,6982084
Seychelles,56.691,96762
Sierra Leone,42.055,7650154
Singapore,100,5638676
Sint Maarten (Dutch part),100,40654
Slovakia,53.726,5447011
Slovenia,54.541,2067372
Solomon Islands,23.749,652858
Somalia,44.971,15008154
South Africa,66.355,57779622
South Sudan,19.615,10975920
Spain,80.321,46723749
Sri Lanka,18.476,21670000
Saint Kitts and Nevis,30.776,52441
Saint Lucia,18.678,181889
St. Martin (French part),..,37264
Saint Vincent and the Grenadines,52.198,110210
Sudan,34.642,41801533
Suriname,66.06,575991
Sweden,87.431,10183175
Switzerland,73.797,8516543
Syrian Arab Republic,54.162,16906283
Tajikistan,27.134,9100837
Tanzania,33.776,56318348
Thailand,49.949,69428524
Timor-Leste,30.578,1267972
Togo,41.702,7889094
Tonga,23.131,103197
Trinidad and Tobago,53.184,1389858
Tunisia,68.945,11565204
Turkey,75.143,82319724
Turkmenistan,51.593,5850908
Turks and Caicos Islands,93.098,37665
Tuvalu,62.387,11508
Uganda,23.774,42723139
Ukraine,69.352,44622516
United Arab Emirates,86.522,9630959
United Kingdom,83.398,66488991
US,82.256,327167434
Uruguay,95.334,3449299
Uzbekistan,50.478,32955400
Vanuatu,25.274,292680
Venezuela,88.208,28870195
Vietnam,35.919,95540395
Virgin Islands (U.S.),95.721,106977
West Bank and Gaza,76.164,4569087
"Yemen, Rep.",36.642,28498687
Zambia,43.521,17351822
Zimbabwe,32.209,14439018
Arab World,58.9254185931391,419790588
Caribbean small states,51.1993615776132,7358965
Central Europe and the Baltics,62.3320760627627,102511922
Early-demographic dividend,45.1312566986719,3249140605
East Asia & Pacific,59.0527886714373,2328220870
East Asia & Pacific (excluding high income),55.6335882382637,2081651801
East Asia & Pacific (IDA & IBRD countries),55.5550920185359,2056064424
Euro area,76.9917327106284,341783171
Europe & Central Asia,72.1835105010589,918793590
Europe & Central Asia (excluding high income),66.9473805143823,417797257
Europe & Central Asia (IDA & IBRD countries),66.2868323125935,459865205
European Union,75.6656484657532,513213363
Fragile and conflict affected situations,41.5068290622002,515215936
Heavily indebted poor countries (HIPC),36.0084652627508,780234406
High income,81.3349783647456,1210312147
IBRD only,55.0124279996674,4772284113
IDA & IBRD total,50.4222017748257,6412522234
IDA blend,42.3804250236419,555830605
IDA only,34.3159699173835,1084407516
IDA total,37.0518650600215,1640238121
Late-demographic dividend,62.4450990246255,2288665963
Latin America & Caribbean,80.5832909863671,641357515
Latin America & Caribbean (excluding high income),80.4016255969999,609013934
Latin America & the Caribbean (IDA & IBRD countries),80.6014123164288,625569713
Least developed countries: UN classification,33.568060082099,1009662578
Low & middle income,50.3278442398155,6383958209
Low income,32.5722038899212,705417321
Lower middle income,40.5078897764183,3022905169
Middle East & North Africa,65.3719743231147,448912859
Middle East & North Africa (excluding high income),61.5905475175283,382896715
Middle East & North Africa (IDA & IBRD countries),61.4145429982846,378327628
Middle income,52.5342574698536,5678540888
North America,82.1731548388538,364290258
Not classified,..,..
OECD members,80.5933075710504,1303529456
Other small states,62.1180381474502,30758989
Pacific island small states,38.7813441179116,2457367
Post-demographic dividend,81.2806947844979,1109997273
Pre-demographic dividend,41.2269515142477,919485393
Small states,58.7244240705329,40575321
South Asia,33.9923612456427,1814388744
South Asia (IDA & IBRD),33.9923612456427,1814388744
Sub-Saharan Africa,40.1768233729515,1078306520
Sub-Saharan Africa (excluding high income),40.175341337803,1078209758
Sub-Saharan Africa (IDA & IBRD countries),40.1768233729515,1078306520
Upper middle income,66.2333682980853,2655635719
World,55.2705785486132,7594270356
